nhgiscode,gjoin1970,gjoin1980,gjoin1990,gjoin2000,gjoin2010,gjoin2012,state,statefp,statenh,county,countyfp,countynh,tracta,name1970,name1980,name1990,name2000,name2010,name2012,r_wh_1970,r_wh_1980,r_wh_1990,r_wh_2000,r_wh_2010,r_bl_1970,r_bl_1980,r_bl_1990,r_bl_2000,r_bl_2010,r_ai_1970,r_ai_1980,r_ai_1990,r_ai_2000,r_ai_2010,r_as_1970,r_as_1980,r_as_1990,r_as_2000,r_as_2010,r_2m_2000,r_2m_2010,emp_tot_1970,emp_tot_1980,emp_tot_1990,emp_tot_2000,emp_tot_2012,emp_1970,emp_1980,emp_1990,emp_2000,emp_2012,emp_un_1970,emp_un_1980,emp_un_1990,emp_un_2000,emp_un_2012,pov_1970,pov_1980,pov_1990,pov_2000,pov_2012,pop_2012,pop_1980,pop_2000,pop_1970,pop_1990,pop_2010
G4701570008500,G47015700085,G47015700085,G47015700085,G4701570008500,G4701570008500,G4701570008500,Tennessee,47,470,Shelby County,157,1570,8500,Tract   85,State: 47 County: 157 Tract: 85,Tract 85,Census Tract 85,Census Tract 85,"Census Tract 85, Shelby County, Tennessee",4481.0,3839.0,3962.0,3974.0,3911.0,192.0,28.0,27.0,51.0,50.0,1.0,0.0,1.0,5.0,9.0,13.0,30.0,19.0,25.0,106.0,13.0,40.0,1795.0,1778.0,1793.0,1754.0,1737.0,1745.0,1737.0,1775.0,1718.0,1704.0,40.0,41.0,18.0,36.0,33.0,152.0,77.0,122.0,72.0,208.0,0.0,3897.0,4068.0,4687.0,4009.0,4116.0
G4701570008600,G47015700086,G47015700086,G47015700086,G4701570008600,G4701570008600,G4701570008600,Tennessee,47,470,Shelby County,157,1570,8600,Tract   86,State: 47 County: 157 Tract: 86,Tract 86,Census Tract 86,Census Tract 86,"Census Tract 86, Shelby County, Tennessee",7282.0,6030.0,5610.0,5204.0,4835.0,8.0,91.0,132.0,678.0,564.0,2.0,0.0,3.0,10.0,22.0,16.0,25.0,114.0,131.0,381.0,57.0,84.0,3325.0,3114.0,2937.0,2985.0,2988.0,3209.0,3011.0,2824.0,2907.0,2800.0,99.0,103.0,113.0,78.0,188.0,265.0,240.0,357.0,586.0,1035.0,0.0,6146.0,6080.0,7308.0,5859.0,5886.0
G4701570008700,G47015700087,G47015700087,G47015700087,G4701570008700,G4701570008700,G4701570008700,Tennessee,47,470,Shelby County,157,1570,8700,Tract   87,State: 47 County: 157 Tract: 87,Tract 87,Census Tract 87,Census Tract 87,"Census Tract 87, Shelby County, Tennessee",6194.0,4886.0,4374.0,4048.0,3490.0,5.0,51.0,76.0,203.0,428.0,2.0,6.0,14.0,24.0,12.0,6.0,22.0,30.0,177.0,719.0,55.0,119.0,2899.0,2606.0,2253.0,2428.0,2234.0,2797.0,2435.0,2126.0,2314.0,2024.0,89.0,166.0,127.0,114.0,210.0,312.0,394.0,393.0,370.0,802.0,0.0,4965.0,4507.0,6207.0,4494.0,4768.0
G4701570008800,G47015700088,G47015700088,G47015700088,G4701570008800,G4701570008800,G4701570008800,Tennessee,47,470,Shelby County,157,1570,8800,Tract   88,State: 47 County: 157 Tract: 88,Tract 88,Census Tract 88,Census Tract 88,"Census Tract 88, Shelby County, Tennessee",8703.0,6841.0,6058.0,5088.0,3694.0,2.0,15.0,84.0,477.0,858.0,6.0,0.0,7.0,9.0,30.0,4.0,0.0,47.0,383.0,2075.0,109.0,197.0,3851.0,3446.0,3137.0,3140.0,3028.0,3644.0,3206.0,2869.0,2928.0,2533.0,183.0,235.0,237.0,212.0,495.0,584.0,726.0,641.0,822.0,2323.0,0.0,6856.0,6066.0,8715.0,6196.0,6854.0
G4701570008900,G47015700089,G47015700089,G47015700089,G4701570008900,G4701570008900,G4701570008900,Tennessee,47,470,Shelby County,157,1570,8900,Tract   89,State: 47 County: 157 Tract: 89,Tract 89,Census Tract 89,Census Tract 89,"Census Tract 89, Shelby County, Tennessee",6098.0,3990.0,3130.0,2283.0,1655.0,34.0,891.0,1665.0,1013.0,1119.0,0.0,0.0,27.0,15.0,23.0,5.0,34.0,152.0,555.0,1152.0,111.0,129.0,3008.0,2564.0,2541.0,1825.0,1772.0,2859.0,2318.0,2362.0,1649.0,1438.0,87.0,240.0,171.0,176.0,334.0,496.0,668.0,1043.0,826.0,1714.0,0.0,4915.0,3977.0,6137.0,4974.0,4078.0
G4701570009000,G47015700090,G47015700090,G47015700090,G4701570009000,,,Tennessee,47,470,Shelby County,157,1570,9000,Tract   90,State: 47 County: 157 Tract: 90,Tract 90,Census Tract 90,,,0.0,0.0,1.0,28.0,,3862.0,2619.0,2423.0,1957.0,,2.0,0.0,1.0,2.0,,1.0,0.0,2.0,7.0,,7.0,,1101.0,794.0,1015.0,703.0,,1045.0,682.0,822.0,526.0,,56.0,112.0,193.0,177.0,,2482.0,1017.0,992.0,743.0,,0.0,2619.0,2001.0,3865.0,2427.0,0.0
G4701570009100,G47015700091,G47015700091,G47015700091,G4701570009100,G4701570009100,G4701570009100,Tennessee,47,470,Shelby County,157,1570,9100,Tract   91,State: 47 County: 157 Tract: 91,Tract 91,Census Tract 91,Census Tract 91,"Census Tract 91, Shelby County, Tennessee",3213.0,2581.0,2299.0,2024.0,1635.0,19.0,10.0,59.0,139.0,188.0,1.0,0.0,9.0,7.0,5.0,3.0,0.0,24.0,124.0,647.0,13.0,92.0,1518.0,1457.0,1225.0,1121.0,931.0,1451.0,1373.0,1131.0,1061.0,824.0,67.0,84.0,86.0,60.0,107.0,104.0,284.0,265.0,264.0,736.0,0.0,2591.0,2307.0,3236.0,2391.0,2567.0
G4701570009200,G47015700092,G47015700092,G47015700092,G4701570009200,G4701570009200,G4701570009200,Tennessee,47,470,Shelby County,157,1570,9200,Tract   92,State: 47 County: 157 Tract: 92,Tract 92,Census Tract 92,Census Tract 92,"Census Tract 92, Shelby County, Tennessee",8694.0,6994.0,6075.0,6033.0,6184.0,246.0,165.0,131.0,194.0,458.0,1.0,0.0,6.0,5.0,18.0,4.0,22.0,48.0,142.0,422.0,41.0,118.0,3603.0,3801.0,3349.0,3537.0,4107.0,3516.0,3683.0,3192.0,3466.0,3867.0,82.0,105.0,157.0,52.0,240.0,361.0,309.0,246.0,286.0,867.0,0.0,7181.0,6415.0,8945.0,6260.0,7200.0
G4701570009300,G47015700093,G47015700093,G47015700093,G4701570009300,G4701570009300,G4701570009300,Tennessee,47,470,Shelby County,157,1570,9300,Tract   93,State: 47 County: 157 Tract: 93,Tract 93,Census Tract 93,Census Tract 93,"Census Tract 93, Shelby County, Tennessee",5936.0,5132.0,4502.0,4052.0,3528.0,8.0,0.0,67.0,207.0,584.0,2.0,7.0,16.0,8.0,8.0,5.0,4.0,56.0,86.0,309.0,31.0,66.0,2562.0,2828.0,2377.0,2287.0,2354.0,2476.0,2724.0,2294.0,2228.0,2231.0,53.0,99.0,70.0,59.0,123.0,128.0,224.0,164.0,282.0,868.0,0.0,5143.0,4384.0,5951.0,4641.0,4495.0
G4701570009400,G47015700094,G47015700094,G47015700094,G4701570009400,G4701570009400,G4701570009400,Tennessee,47,470,Shelby County,157,1570,9400,Tract   94,State: 47 County: 157 Tract: 94,Tract 94,Census Tract 94,Census Tract 94,"Census Tract 94, Shelby County, Tennessee",5184.0,4016.0,3431.0,3068.0,2729.0,2.0,0.0,15.0,86.0,277.0,1.0,28.0,12.0,14.0,5.0,14.0,0.0,31.0,42.0,67.0,22.0,50.0,2340.0,2120.0,1720.0,1662.0,1797.0,2271.0,2034.0,1664.0,1630.0,1691.0,65.0,86.0,56.0,32.0,106.0,297.0,162.0,316.0,168.0,168.0,0.0,4044.0,3232.0,5201.0,3489.0,3128.0
