nhgiscode,gjoin1970,gjoin1980,gjoin1990,gjoin2000,gjoin2010,gjoin2012,state,statefp,statenh,county,countyfp,countynh,tracta,name1970,name1980,name1990,name2000,name2010,name2012,r_wh_1970,r_wh_1980,r_wh_1990,r_wh_2000,r_wh_2010,r_bl_1970,r_bl_1980,r_bl_1990,r_bl_2000,r_bl_2010,r_ai_1970,r_ai_1980,r_ai_1990,r_ai_2000,r_ai_2010,r_as_1970,r_as_1980,r_as_1990,r_as_2000,r_as_2010,r_2m_2000,r_2m_2010,emp_tot_1970,emp_tot_1980,emp_tot_1990,emp_tot_2000,emp_tot_2012,emp_1970,emp_1980,emp_1990,emp_2000,emp_2012,emp_un_1970,emp_un_1980,emp_un_1990,emp_un_2000,emp_un_2012,pov_1970,pov_1980,pov_1990,pov_2000,pov_2012,pop_2012,pop_1980,pop_2000,pop_1970,pop_1990,pop_2010
G4701570010610,,,G4701570010610,G4701570010610,G4701570010610,G4701570010610,Tennessee,47,470,Shelby County,157,1570,10610,,,Tract 106.10,Census Tract 106.10,Census Tract 106.10,"Census Tract 106.10, Shelby County, Tennessee",,,4151.0,1363.0,818.0,,,1285.0,4526.0,5099.0,,,15.0,12.0,21.0,,,91.0,591.0,1041.0,70.0,72.0,,,3135.0,3081.0,3942.0,,,3003.0,2834.0,3318.0,,,124.0,241.0,624.0,,,382.0,1084.0,2102.0,0.0,0.0,6562.0,0.0,5542.0,7051.0
G4701570010620,,,G4701570010620,G4701570010620,G4701570010620,G4701570010620,Tennessee,47,470,Shelby County,157,1570,10620,,,Tract 106.20,Census Tract 106.20,Census Tract 106.20,"Census Tract 106.20, Shelby County, Tennessee",,,1197.0,267.0,250.0,,,2353.0,3782.0,3493.0,,,2.0,6.0,10.0,,,113.0,121.0,236.0,40.0,37.0,,,2174.0,2050.0,1635.0,,,1969.0,1863.0,1347.0,,,195.0,187.0,288.0,,,496.0,980.0,1172.0,0.0,0.0,4216.0,0.0,3665.0,4026.0
G4701570010630,,,G4701570010630,G4701570010630,G4701570010630,G4701570010630,Tennessee,47,470,Shelby County,157,1570,10630,,,Tract 106.30,Census Tract 106.30,Census Tract 106.30,"Census Tract 106.30, Shelby County, Tennessee",,,2652.0,683.0,416.0,,,2375.0,4697.0,3276.0,,,14.0,19.0,15.0,,,99.0,529.0,691.0,51.0,54.0,,,3284.0,2948.0,2313.0,,,3076.0,2644.0,1939.0,,,208.0,304.0,374.0,,,807.0,1524.0,1673.0,0.0,0.0,5979.0,0.0,5140.0,4452.0
G4701570010700,G47015700107,G47015700107,,,,,Tennessee,47,470,Shelby County,157,1570,10700,Tract  107,State: 47 County: 157 Tract: 107,,,,,8631.0,7815.0,,,,1.0,129.0,,,,0.0,45.0,,,,10.0,23.0,,,,,,3540.0,4957.0,,,,3502.0,4717.0,,,,33.0,233.0,,,,214.0,249.0,,,,0.0,8012.0,0.0,8642.0,0.0,0.0
G4701570010710,,,G4701570010710,G4701570010710,G4701570010710,G4701570010710,Tennessee,47,470,Shelby County,157,1570,10710,,,Tract 107.10,Census Tract 107.10,Census Tract 107.10,"Census Tract 107.10, Shelby County, Tennessee",,,3887.0,1685.0,804.0,,,119.0,2358.0,3308.0,,,10.0,8.0,6.0,,,49.0,316.0,639.0,77.0,74.0,,,2329.0,2253.0,2644.0,,,2264.0,2085.0,2298.0,,,65.0,168.0,346.0,,,164.0,293.0,950.0,0.0,0.0,4444.0,0.0,4065.0,4831.0
G4701570010720,,,G4701570010720,G4701570010720,G4701570010720,G4701570010720,Tennessee,47,470,Shelby County,157,1570,10720,,,Tract 107.20,Census Tract 107.20,Census Tract 107.20,"Census Tract 107.20, Shelby County, Tennessee",,,2862.0,1364.0,402.0,,,151.0,1982.0,2626.0,,,3.0,8.0,4.0,,,42.0,195.0,142.0,69.0,32.0,,,2119.0,2221.0,1929.0,,,2088.0,2121.0,1677.0,,,31.0,100.0,252.0,,,136.0,253.0,990.0,0.0,0.0,3618.0,0.0,3058.0,3206.0
G4701570010800,G47015700108,G47015700108,,,,,Tennessee,47,470,Shelby County,157,1570,10800,Tract  108,State: 47 County: 157 Tract: 108,,,,,7420.0,9314.0,,,,37.0,202.0,,,,2.0,0.0,,,,7.0,77.0,,,,,,3080.0,5658.0,,,,3012.0,5458.0,,,,49.0,197.0,,,,206.0,286.0,,,,0.0,9593.0,0.0,7466.0,0.0,0.0
G4701570010810,,,G4701570010810,G4701570010810,G4701570010810,G4701570010810,Tennessee,47,470,Shelby County,157,1570,10810,,,Tract 108.10,Census Tract 108.10,Census Tract 108.10,"Census Tract 108.10, Shelby County, Tennessee",,,4620.0,1267.0,513.0,,,556.0,4694.0,4793.0,,,16.0,17.0,11.0,,,58.0,427.0,482.0,78.0,66.0,,,3149.0,3368.0,3040.0,,,2983.0,3195.0,2664.0,,,166.0,165.0,376.0,,,219.0,753.0,1351.0,0.0,0.0,6483.0,0.0,5250.0,5865.0
G4701570010820,,,G4701570010820,G4701570010820,G4701570010820,G4701570010820,Tennessee,47,470,Shelby County,157,1570,10820,,,Tract 108.20,Census Tract 108.20,Census Tract 108.20,"Census Tract 108.20, Shelby County, Tennessee",,,3237.0,1186.0,483.0,,,276.0,2584.0,3360.0,,,2.0,4.0,19.0,,,62.0,131.0,228.0,11.0,56.0,,,2001.0,2071.0,2413.0,,,1949.0,1994.0,2240.0,,,52.0,77.0,173.0,,,66.0,234.0,610.0,0.0,0.0,3916.0,0.0,3577.0,4146.0
G4701570010900,G47015700109,G47015700109,G47015700109,G4701570010900,,,Tennessee,47,470,Shelby County,157,1570,10900,Tract  109,State: 47 County: 157 Tract: 109,Tract 109,Census Tract 109,,,1707.0,3210.0,2131.0,553.0,,51.0,361.0,1094.0,3361.0,,0.0,5.0,2.0,2.0,,3.0,5.0,38.0,73.0,,50.0,,677.0,2148.0,2095.0,2088.0,,672.0,2046.0,2008.0,1895.0,,5.0,92.0,87.0,193.0,,61.0,231.0,199.0,920.0,,0.0,3581.0,4039.0,1761.0,3265.0,0.0
G4701570011000,G47015700110,G47015700110,,,,,Tennessee,47,470,Shelby County,157,1570,11000,Tract  110,State: 47 County: 157 Tract: 110,,,,,6489.0,6630.0,,,,78.0,1204.0,,,,8.0,0.0,,,,23.0,75.0,,,,,,2766.0,4431.0,,,,2697.0,4211.0,,,,58.0,220.0,,,,407.0,660.0,,,,0.0,7909.0,0.0,6598.0,0.0,0.0
G4701570011010,,,G4701570011010,G4701570011010,G4701570011010,G4701570011010,Tennessee,47,470,Shelby County,157,1570,11010,,,Tract 110.10,Census Tract 110.10,Census Tract 110.10,"Census Tract 110.10, Shelby County, Tennessee",,,3587.0,1551.0,1023.0,,,1151.0,2573.0,2680.0,,,6.0,16.0,5.0,,,60.0,182.0,362.0,59.0,46.0,,,2577.0,2121.0,1905.0,,,2471.0,1930.0,1596.0,,,106.0,177.0,309.0,,,474.0,636.0,1314.0,0.0,0.0,4381.0,0.0,4804.0,4116.0
G4701570011020,,,G4701570011020,G4701570011020,G4701570011020,G4701570011020,Tennessee,47,470,Shelby County,157,1570,11020,,,Tract 110.20,Census Tract 110.20,Census Tract 110.20,"Census Tract 110.20, Shelby County, Tennessee",,,562.0,252.0,126.0,,,2039.0,2318.0,1405.0,,,1.0,6.0,2.0,,,15.0,42.0,63.0,27.0,19.0,,,1500.0,1186.0,756.0,,,1433.0,1064.0,586.0,,,67.0,122.0,170.0,,,307.0,586.0,519.0,0.0,0.0,2645.0,0.0,2617.0,1615.0
G4701570011100,,,,,G4701570011100,G4701570011100,Tennessee,47,470,Shelby County,157,1570,11100,,,,,Census Tract 111,"Census Tract 111, Shelby County, Tennessee",,,,,12.0,,,,,1850.0,,,,,5.0,,,,,13.0,,12.0,,,,,582.0,,,,,506.0,,,,,76.0,,,,,691.0,0.0,0.0,0.0,0.0,0.0,1892.0
G4701570011200,,,,,G4701570011200,G4701570011200,Tennessee,47,470,Shelby County,157,1570,11200,,,,,Census Tract 112,"Census Tract 112, Shelby County, Tennessee",,,,,14.0,,,,,1683.0,,,,,2.0,,,,,2.0,,19.0,,,,,537.0,,,,,420.0,,,,,117.0,,,,,960.0,0.0,0.0,0.0,0.0,0.0,1720.0
G4701570011300,,,,,G4701570011300,G4701570011300,Tennessee,47,470,Shelby County,157,1570,11300,,,,,Census Tract 113,"Census Tract 113, Shelby County, Tennessee",,,,,251.0,,,,,1501.0,,,,,9.0,,,,,56.0,,33.0,,,,,613.0,,,,,521.0,,,,,92.0,,,,,1090.0,0.0,0.0,0.0,0.0,0.0,1850.0
G4701570011400,,,,,G4701570011400,G4701570011400,Tennessee,47,470,Shelby County,157,1570,11400,,,,,Census Tract 114,"Census Tract 114, Shelby County, Tennessee",,,,,667.0,,,,,5183.0,,,,,4.0,,,,,43.0,,57.0,,,,,1030.0,,,,,754.0,,,,,266.0,,,,,1951.0,0.0,0.0,0.0,0.0,0.0,5954.0
G4701570011500,,,,,G4701570011500,G4701570011500,Tennessee,47,470,Shelby County,157,1570,11500,,,,,Census Tract 115,"Census Tract 115, Shelby County, Tennessee",,,,,25.0,,,,,2863.0,,,,,2.0,,,,,10.0,,14.0,,,,,1092.0,,,,,763.0,,,,,329.0,,,,,1102.0,0.0,0.0,0.0,0.0,0.0,2914.0
G4701570011600,,,,,G4701570011600,G4701570011600,Tennessee,47,470,Shelby County,157,1570,11600,,,,,Census Tract 116,"Census Tract 116, Shelby County, Tennessee",,,,,22.0,,,,,2669.0,,,,,2.0,,,,,5.0,,45.0,,,,,893.0,,,,,618.0,,,,,275.0,,,,,1220.0,0.0,0.0,0.0,0.0,0.0,2743.0
G4701570011700,,,,,G4701570011700,G4701570011700,Tennessee,47,470,Shelby County,157,1570,11700,,,,,Census Tract 117,"Census Tract 117, Shelby County, Tennessee",,,,,25.0,,,,,1654.0,,,,,1.0,,,,,3.0,,10.0,,,,,671.0,,,,,454.0,,,,,217.0,,,,,757.0,0.0,0.0,0.0,0.0,0.0,1693.0
G4701570011800,,,,,G4701570011800,G4701570011800,Tennessee,47,470,Shelby County,157,1570,11800,,,,,Census Tract 118,"Census Tract 118, Shelby County, Tennessee",,,,,2168.0,,,,,2332.0,,,,,42.0,,,,,978.0,,125.0,,,,,2724.0,,,,,2427.0,,,,,297.0,,,,,1502.0,0.0,0.0,0.0,0.0,0.0,5645.0
G4701570020100,G47015700201,G47015700201,G47015700201,G4701570020100,,,Tennessee,47,470,Shelby County,157,1570,20100,Tract  201,State: 47 County: 157 Tract: 201,Tract 201,Census Tract 201,,,2079.0,5828.0,6013.0,5165.0,,744.0,1016.0,1787.0,2864.0,,2.0,23.0,28.0,28.0,,2.0,23.0,36.0,49.0,,107.0,,956.0,2698.0,3742.0,3797.0,,872.0,2453.0,3455.0,3529.0,,44.0,133.0,202.0,259.0,,706.0,1112.0,1263.0,1490.0,,0.0,6890.0,8213.0,2827.0,7864.0,0.0
G4701570020101,,,,,G4701570020101,G4701570020101,Tennessee,47,470,Shelby County,157,1570,20101,,,,,Census Tract 201.01,"Census Tract 201.01, Shelby County, Tennessee",,,,,1589.0,,,,,2858.0,,,,,15.0,,,,,105.0,,109.0,,,,,2289.0,,,,,1805.0,,,,,484.0,,,,,2376.0,0.0,0.0,0.0,0.0,0.0,4676.0
G4701570020102,,,,,G4701570020102,G4701570020102,Tennessee,47,470,Shelby County,157,1570,20102,,,,,Census Tract 201.02,"Census Tract 201.02, Shelby County, Tennessee",,,,,2635.0,,,,,357.0,,,,,14.0,,,,,25.0,,53.0,,,,,1771.0,,,,,1588.0,,,,,183.0,,,,,184.0,0.0,0.0,0.0,0.0,0.0,3084.0
G4701570020200,G47015700202,,,,,,Tennessee,47,470,Shelby County,157,1570,20200,Tract  202,,,,,,4312.0,,,,,2657.0,,,,,6.0,,,,,18.0,,,,,,,2307.0,,,,,1829.0,,,,,113.0,,,,,1898.0,,,,,0.0,0.0,0.0,6993.0,0.0,0.0
G4701570020210,,G4701570020210,G4701570020210,G4701570020210,G4701570020210,G4701570020210,Tennessee,47,470,Shelby County,157,1570,20210,,State: 47 County: 157 Tract: 202.10,Tract 202.10,Census Tract 202.10,Census Tract 202.10,"Census Tract 202.10, Shelby County, Tennessee",,3231.0,4480.0,4316.0,3970.0,,1243.0,1307.0,1353.0,1791.0,,10.0,26.0,41.0,37.0,,12.0,138.0,150.0,348.0,97.0,146.0,,1883.0,2900.0,2942.0,3522.0,,1330.0,2396.0,2716.0,3242.0,,153.0,142.0,158.0,256.0,,399.0,787.0,658.0,683.0,0.0,4496.0,5957.0,0.0,5951.0,6292.0
G4701570020220,,G4701570020220,G4701570020220,,,,Tennessee,47,470,Shelby County,157,1570,20220,,State: 47 County: 157 Tract: 202.20,Tract 202.20,,,,,3456.0,3345.0,,,,718.0,765.0,,,,34.0,29.0,,,,46.0,61.0,,,,,,1985.0,2112.0,,,,1679.0,1920.0,,,,133.0,128.0,,,,511.0,442.0,,,0.0,4254.0,0.0,0.0,4200.0,0.0
G4701570020221,,,,G4701570020221,G4701570020221,G4701570020221,Tennessee,47,470,Shelby County,157,1570,20221,,,,Census Tract 202.21,Census Tract 202.21,"Census Tract 202.21, Shelby County, Tennessee",,,,1626.0,1718.0,,,,497.0,939.0,,,,11.0,18.0,,,,30.0,85.0,17.0,68.0,,,,1004.0,1564.0,,,,958.0,1411.0,,,,46.0,153.0,,,,205.0,214.0,0.0,0.0,2181.0,0.0,0.0,2828.0
G4701570020222,,,,G4701570020222,G4701570020222,G4701570020222,Tennessee,47,470,Shelby County,157,1570,20222,,,,Census Tract 202.22,Census Tract 202.22,"Census Tract 202.22, Shelby County, Tennessee",,,,2225.0,1726.0,,,,630.0,1421.0,,,,10.0,21.0,,,,75.0,260.0,53.0,108.0,,,,1659.0,1873.0,,,,1565.0,1495.0,,,,72.0,311.0,,,,261.0,484.0,0.0,0.0,2993.0,0.0,0.0,3536.0
G4701570020300,G47015700203,G47015700203,G47015700203,G4701570020300,G4701570020300,G4701570020300,Tennessee,47,470,Shelby County,157,1570,20300,Tract  203,State: 47 County: 157 Tract: 203,Tract 203,Census Tract 203,Census Tract 203,"Census Tract 203, Shelby County, Tennessee",6944.0,4966.0,5435.0,4470.0,4097.0,477.0,1028.0,1081.0,963.0,919.0,15.0,30.0,29.0,40.0,32.0,120.0,117.0,226.0,168.0,162.0,103.0,183.0,3038.0,0.0,3539.0,2854.0,2706.0,1378.0,0.0,2525.0,2692.0,2353.0,141.0,0.0,224.0,121.0,341.0,1254.0,0.0,830.0,645.0,1007.0,0.0,6141.0,5744.0,7556.0,6771.0,5393.0
G4701570020400,G47015700204,G47015700204,G47015700204,G4701570020400,G4701570020400,G4701570020400,Tennessee,47,470,Shelby County,157,1570,20400,Tract  204,State: 47 County: 157 Tract: 204,Tract 204,Census Tract 204,Census Tract 204,"Census Tract 204, Shelby County, Tennessee",12506.0,10574.0,7460.0,1611.0,706.0,731.0,1356.0,1582.0,825.0,269.0,49.0,71.0,98.0,17.0,15.0,264.0,271.0,533.0,191.0,85.0,91.0,43.0,10519.0,9966.0,7304.0,1228.0,703.0,233.0,299.0,756.0,429.0,313.0,33.0,83.0,118.0,26.0,82.0,208.0,360.0,348.0,22.0,9.0,0.0,12272.0,2735.0,13550.0,9673.0,1118.0
G4701570020500,G47015700205,,,,,,Tennessee,47,470,Shelby County,157,1570,20500,Tract  205,,,,,,17708.0,,,,,1862.0,,,,,10.0,,,,,42.0,,,,,,,7606.0,,,,,7087.0,,,,,215.0,,,,,1734.0,,,,,0.0,0.0,0.0,19622.0,0.0,0.0
G4701570020510,,G4701570020510,G4701570020510,,,,Tennessee,47,470,Shelby County,157,1570,20510,,State: 47 County: 157 Tract: 205.10,Tract 205.10,,,,,6106.0,5303.0,,,,1547.0,3080.0,,,,25.0,25.0,,,,8.0,69.0,,,,,,3872.0,4750.0,,,,3491.0,4371.0,,,,243.0,244.0,,,,1092.0,1167.0,,,0.0,7686.0,0.0,0.0,8477.0,0.0
G4701570020511,,,,G4701570020511,G4701570020511,G4701570020511,Tennessee,47,470,Shelby County,157,1570,20511,,,,Census Tract 205.11,Census Tract 205.11,"Census Tract 205.11, Shelby County, Tennessee",,,,820.0,385.0,,,,1368.0,1694.0,,,,2.0,2.0,,,,18.0,26.0,14.0,21.0,,,,1103.0,985.0,,,,1062.0,898.0,,,,41.0,87.0,,,,177.0,391.0,0.0,0.0,2222.0,0.0,0.0,2128.0
G4701570020512,,,,G4701570020512,G4701570020512,G4701570020512,Tennessee,47,470,Shelby County,157,1570,20512,,,,Census Tract 205.12,Census Tract 205.12,"Census Tract 205.12, Shelby County, Tennessee",,,,1890.0,780.0,,,,4410.0,4902.0,,,,18.0,13.0,,,,238.0,78.0,85.0,64.0,,,,3062.0,2896.0,,,,2882.0,2527.0,,,,160.0,369.0,,,,1349.0,1877.0,0.0,0.0,6641.0,0.0,0.0,5837.0
G4701570020520,,G4701570020520,G4701570020520,,,,Tennessee,47,470,Shelby County,157,1570,20520,,State: 47 County: 157 Tract: 205.20,Tract 205.20,,,,,9547.0,7291.0,,,,2324.0,4981.0,,,,33.0,32.0,,,,28.0,183.0,,,,,,5616.0,6520.0,,,,5065.0,5895.0,,,,358.0,422.0,,,,1379.0,1356.0,,,0.0,11932.0,0.0,0.0,12487.0,0.0
G4701570020521,,,,G4701570020521,G4701570020521,G4701570020521,Tennessee,47,470,Shelby County,157,1570,20521,,,,Census Tract 205.21,Census Tract 205.21,"Census Tract 205.21, Shelby County, Tennessee",,,,505.0,246.0,,,,3570.0,3374.0,,,,4.0,8.0,,,,45.0,10.0,24.0,55.0,,,,1771.0,1878.0,,,,1615.0,1577.0,,,,130.0,301.0,,,,1117.0,1388.0,0.0,0.0,4148.0,0.0,0.0,3693.0
G4701570020522,,,,G4701570020522,,,Tennessee,47,470,Shelby County,157,1570,20522,,,,Census Tract 205.22,,,,,,1851.0,,,,,6402.0,,,,,24.0,,,,,245.0,,125.0,,,,,4078.0,,,,,3655.0,,,,,397.0,,,,,1309.0,,0.0,0.0,8647.0,0.0,0.0,0.0
G4701570020523,,,,,G4701570020523,G4701570020523,Tennessee,47,470,Shelby County,157,1570,20523,,,,,Census Tract 205.23,"Census Tract 205.23, Shelby County, Tennessee",,,,,346.0,,,,,3061.0,,,,,3.0,,,,,100.0,,37.0,,,,,1776.0,,,,,1328.0,,,,,448.0,,,,,1621.0,0.0,0.0,0.0,0.0,0.0,3547.0
G4701570020524,,,,,G4701570020524,G4701570020524,Tennessee,47,470,Shelby County,157,1570,20524,,,,,Census Tract 205.24,"Census Tract 205.24, Shelby County, Tennessee",,,,,409.0,,,,,4338.0,,,,,19.0,,,,,95.0,,48.0,,,,,2048.0,,,,,1707.0,,,,,341.0,,,,,493.0,0.0,0.0,0.0,0.0,0.0,4909.0
G4701570020530,,G4701570020530,G4701570020530,G4701570020530,,,Tennessee,47,470,Shelby County,157,1570,20530,,State: 47 County: 157 Tract: 205.30,Tract 205.30,Census Tract 205.30,,,,5704.0,6335.0,4724.0,,,289.0,744.0,4633.0,,,0.0,17.0,17.0,,,20.0,125.0,329.0,,144.0,,,3011.0,3969.0,4966.0,,,2769.0,3722.0,4615.0,,,155.0,96.0,339.0,,,212.0,505.0,787.0,,0.0,6013.0,9847.0,0.0,7221.0,0.0
G4701570020531,,,,,G4701570020531,G4701570020531,Tennessee,47,470,Shelby County,157,1570,20531,,,,,Census Tract 205.31,"Census Tract 205.31, Shelby County, Tennessee",,,,,1269.0,,,,,3387.0,,,,,28.0,,,,,972.0,,147.0,,,,,2520.0,,,,,2280.0,,,,,240.0,,,,,2161.0,0.0,0.0,0.0,0.0,0.0,5803.0
G4701570020532,,,,,G4701570020532,G4701570020532,Tennessee,47,470,Shelby County,157,1570,20532,,,,,Census Tract 205.32,"Census Tract 205.32, Shelby County, Tennessee",,,,,1172.0,,,,,4929.0,,,,,4.0,,,,,121.0,,64.0,,,,,3312.0,,,,,3081.0,,,,,231.0,,,,,596.0,0.0,0.0,0.0,0.0,0.0,6290.0
G4701570020540,,G4701570020540,G4701570020540,,,,Tennessee,47,470,Shelby County,157,1570,20540,,State: 47 County: 157 Tract: 205.40,Tract 205.40,,,,,8013.0,8182.0,,,,360.0,1097.0,,,,11.0,26.0,,,,62.0,140.0,,,,,,4708.0,5426.0,,,,4405.0,5123.0,,,,188.0,152.0,,,,425.0,735.0,,,0.0,8446.0,0.0,0.0,9445.0,0.0
G4701570020541,,,,G4701570020541,G4701570020541,G4701570020541,Tennessee,47,470,Shelby County,157,1570,20541,,,,Census Tract 205.41,Census Tract 205.41,"Census Tract 205.41, Shelby County, Tennessee",,,,2828.0,1227.0,,,,1971.0,3691.0,,,,8.0,5.0,,,,71.0,166.0,49.0,69.0,,,,2601.0,2621.0,,,,2479.0,2350.0,,,,114.0,271.0,,,,279.0,555.0,0.0,0.0,4927.0,0.0,0.0,5158.0
G4701570020542,,,,G4701570020542,G4701570020542,G4701570020542,Tennessee,47,470,Shelby County,157,1570,20542,,,,Census Tract 205.42,Census Tract 205.42,"Census Tract 205.42, Shelby County, Tennessee",,,,2026.0,821.0,,,,3236.0,4266.0,,,,20.0,3.0,,,,337.0,169.0,93.0,54.0,,,,2783.0,2441.0,,,,2549.0,2097.0,,,,183.0,344.0,,,,1060.0,1205.0,0.0,0.0,5712.0,0.0,0.0,5313.0
G4701570020600,G47015700206,,,,,,Tennessee,47,470,Shelby County,157,1570,20600,Tract  206,,,,,,9499.0,,,,,1918.0,,,,,9.0,,,,,15.0,,,,,,,4414.0,,,,,4209.0,,,,,142.0,,,,,1325.0,,,,,0.0,0.0,0.0,11441.0,0.0,0.0
G4701570020610,,G4701570020610,G4701570020610,G4701570020610,G4701570020610,G4701570020610,Tennessee,47,470,Shelby County,157,1570,20610,,State: 47 County: 157 Tract: 206.10,Tract 206.10,Census Tract 206.10,Census Tract 206.10,"Census Tract 206.10, Shelby County, Tennessee",,2149.0,3050.0,2363.0,1275.0,,133.0,271.0,924.0,2603.0,,0.0,5.0,5.0,5.0,,0.0,50.0,142.0,191.0,44.0,90.0,,1157.0,2272.0,2228.0,2238.0,,1110.0,2147.0,2114.0,2002.0,,41.0,74.0,76.0,236.0,,16.0,80.0,119.0,592.0,0.0,2282.0,3478.0,0.0,3376.0,4164.0
G4701570020620,,G4701570020620,G4701570020620,,,,Tennessee,47,470,Shelby County,157,1570,20620,,State: 47 County: 157 Tract: 206.20,Tract 206.20,,,,,8618.0,10168.0,,,,325.0,763.0,,,,10.0,24.0,,,,94.0,130.0,,,,,,4846.0,6833.0,,,,4662.0,6512.0,,,,130.0,230.0,,,,312.0,438.0,,,0.0,9047.0,0.0,0.0,11085.0,0.0
G4701570020621,,,,G4701570020621,G4701570020621,G4701570020621,Tennessee,47,470,Shelby County,157,1570,20621,,,,Census Tract 206.21,Census Tract 206.21,"Census Tract 206.21, Shelby County, Tennessee",,,,4555.0,2720.0,,,,2114.0,3922.0,,,,33.0,25.0,,,,285.0,345.0,154.0,112.0,,,,4300.0,4228.0,,,,4094.0,3939.0,,,,181.0,283.0,,,,443.0,568.0,0.0,0.0,7141.0,0.0,0.0,7124.0
G4701570020622,,,,G4701570020622,G4701570020622,G4701570020622,Tennessee,47,470,Shelby County,157,1570,20622,,,,Census Tract 206.22,Census Tract 206.22,"Census Tract 206.22, Shelby County, Tennessee",,,,3801.0,3164.0,,,,280.0,618.0,,,,4.0,10.0,,,,105.0,156.0,37.0,78.0,,,,2290.0,1767.0,,,,2241.0,1581.0,,,,31.0,171.0,,,,175.0,269.0,0.0,0.0,4227.0,0.0,0.0,4026.0
G4701570020630,,G4701570020630,G4701570020630,,,,Tennessee,47,470,Shelby County,157,1570,20630,,State: 47 County: 157 Tract: 206.30,Tract 206.30,,,,,6215.0,8454.0,,,,263.0,252.0,,,,14.0,9.0,,,,14.0,41.0,,,,,,3001.0,4689.0,,,,2919.0,4526.0,,,,50.0,101.0,,,,342.0,311.0,,,0.0,6506.0,0.0,0.0,8756.0,0.0
G4701570020631,,,,G4701570020631,,,Tennessee,47,470,Shelby County,157,1570,20631,,,,Census Tract 206.31,,,,,,8875.0,,,,,253.0,,,,,31.0,,,,,93.0,,73.0,,,,,4877.0,,,,,4741.0,,,,,116.0,,,,,151.0,,0.0,0.0,9325.0,0.0,0.0,0.0
G4701570020632,,,,G4701570020632,G4701570020632,G4701570020632,Tennessee,47,470,Shelby County,157,1570,20632,,,,Census Tract 206.32,Census Tract 206.32,"Census Tract 206.32, Shelby County, Tennessee",,,,4859.0,4725.0,,,,273.0,464.0,,,,12.0,17.0,,,,115.0,238.0,33.0,78.0,,,,2836.0,3147.0,,,,2769.0,2969.0,,,,59.0,178.0,,,,140.0,96.0,0.0,0.0,5292.0,0.0,0.0,5522.0
G4701570020633,,,,,G4701570020633,G4701570020633,Tennessee,47,470,Shelby County,157,1570,20633,,,,,Census Tract 206.33,"Census Tract 206.33, Shelby County, Tennessee",,,,,3019.0,,,,,187.0,,,,,10.0,,,,,89.0,,42.0,,,,,1621.0,,,,,1523.0,,,,,48.0,,,,,95.0,0.0,0.0,0.0,0.0,0.0,3347.0
G4701570020634,,,,,G4701570020634,G4701570020634,Tennessee,47,470,Shelby County,157,1570,20634,,,,,Census Tract 206.34,"Census Tract 206.34, Shelby County, Tennessee",,,,,2607.0,,,,,189.0,,,,,9.0,,,,,74.0,,33.0,,,,,1589.0,,,,,1494.0,,,,,95.0,,,,,108.0,0.0,0.0,0.0,0.0,0.0,2912.0
G4701570020635,,,,,G4701570020635,G4701570020635,Tennessee,47,470,Shelby County,157,1570,20635,,,,,Census Tract 206.35,"Census Tract 206.35, Shelby County, Tennessee",,,,,2549.0,,,,,187.0,,,,,12.0,,,,,43.0,,49.0,,,,,1561.0,,,,,1448.0,,,,,81.0,,,,,183.0,0.0,0.0,0.0,0.0,0.0,2840.0
G4701570020640,,G4701570020640,G4701570020640,,,,Tennessee,47,470,Shelby County,157,1570,20640,,State: 47 County: 157 Tract: 206.40,Tract 206.40,,,,,3616.0,6743.0,,,,1056.0,1063.0,,,,0.0,10.0,,,,35.0,59.0,,,,,,2078.0,4035.0,,,,1927.0,3886.0,,,,90.0,95.0,,,,579.0,400.0,,,0.0,4707.0,0.0,0.0,7875.0,0.0
G4701570020641,,,,G4701570020641,,,Tennessee,47,470,Shelby County,157,1570,20641,,,,Census Tract 206.41,,,,,,11497.0,,,,,1629.0,,,,,19.0,,,,,312.0,,120.0,,,,,7216.0,,,,,7001.0,,,,,131.0,,,,,620.0,,0.0,0.0,13577.0,0.0,0.0,0.0
G4701570020642,,,,G4701570020642,G4701570020642,G4701570020642,Tennessee,47,470,Shelby County,157,1570,20642,,,,Census Tract 206.42,Census Tract 206.42,"Census Tract 206.42, Shelby County, Tennessee",,,,3193.0,6457.0,,,,714.0,3135.0,,,,3.0,18.0,,,,25.0,320.0,16.0,145.0,,,,2083.0,4508.0,,,,2010.0,4210.0,,,,46.0,203.0,,,,136.0,202.0,0.0,0.0,3951.0,0.0,0.0,10075.0
G4701570020643,,,,,G4701570020643,G4701570020643,Tennessee,47,470,Shelby County,157,1570,20643,,,,,Census Tract 206.43,"Census Tract 206.43, Shelby County, Tennessee",,,,,6366.0,,,,,1548.0,,,,,18.0,,,,,370.0,,190.0,,,,,4606.0,,,,,4354.0,,,,,225.0,,,,,302.0,0.0,0.0,0.0,0.0,0.0,8492.0
G4701570020644,,,,,G4701570020644,G4701570020644,Tennessee,47,470,Shelby County,157,1570,20644,,,,,Census Tract 206.44,"Census Tract 206.44, Shelby County, Tennessee",,,,,4447.0,,,,,4279.0,,,,,16.0,,,,,546.0,,181.0,,,,,5030.0,,,,,4649.0,,,,,243.0,,,,,584.0,0.0,0.0,0.0,0.0,0.0,9469.0
